"","KB100","KB101","KB102","KB103","KB104","KB105","KB107","KB108","KB109","KB110","KB111","KB112","KB113","KB114","KB115","KB116","KB117","KB142","KB143","KB144","KB145","KB146","KB147","KB148","KB149","KB150","KB151","KB152","KB153","KB154","KB155","KB156","KB157","KB158","KB159","KB160","KB161","KB162","KB163","KB164","KB165","KB166","KB167","KB168","KB169","KB170","KB171","KB172","KB173","KB174","KB175","KB176","KB177","KB178","KB179","KB180","KB181","KB182","KB183","KB184","KB185","KB186","KB187","KB188","KB189","KB190","KB191","KB192","KB193","KB194","KB195","KB196","KB197","KB198","KB199","KB200","KB201","KB202","KB203","KB204","KB205","KB206","KB207","KB208","KB209","KB210","KB211","KB212","KB213","KB214","KB215","KB216","KB217","KB218","KB219","KB22","KB220","KB221","KB222","KB23","KB24","KB25","KB26","KB27","KB28","KB29","KB30","KB31","KB32","KB33","KB34","KB35","KB36","KB37","KB38","KB39","KB40","KB41","KB42","KB43","KB44","KB45","KB46","KB47","KB49","KB50","KB51","KB52","KB53","KB54","KB55","KB56","KB57","KB76","KB77","KB78","KB79","KB80","KB81","KB82","KB83","KB84","KB85","KB86","KB87","KB88","KB89","KB90","KB91","KB92","KB93","KB94","KB95","KB96","KB97","KB98","KB99"
"Q9NTX5",NA,806221,493313,26291.9,760484,149385,829501,87884.8,561276,38535.6,361892,139083,544952,280242,462462,172073,295869,95211.2,498585,73052.1,396670,NA,175735,301696,98812.6,285495,659230,167693,616047,53567.3,117896,164939,341096,70253.3,556592,421475,446661,32076.3,105343,7051.23,362761,27003.9,200967,118825,475692,23296.3,255171,370101,774443,NA,602386,566094,240555,617876,77876.5,541477,40916.1,NA,1274990,78875.5,557659,27000.7,386000,134643,835617,86751.1,836967,47822.1,54596.8,1047290,131312,NA,441969,376643,45064.6,515168,175856,614336,108923,428266,33797.1,267991,75155.7,647475,252617,233981,313483,265396,78770.6,384758,96855,254001,65491.8,NA,73014.5,131689,132484,807617,689588,63809.8,54800.9,36049.2,41845.1,87049.5,119493,66584.8,141260,58104.6,172497,NA,37060.7,109519,64128.9,95091.8,72428.2,146775,155426,116724,186610,961055,237957,400849,450443,765432,101483,82417.7,301859,67314,76104.3,466055,750260,143384,488320,528380,117372,NA,416407,240458,488711,74047.8,480795,128191,512851,NA,315070,72860.1,415094,36025.1,328847,193699,537338,141675,157371,613767,86883.6,442855,36923.5
"Q9NTZ6",NA,NA,NA,NA,NA,20267.4,NA,4909.06,NA,NA,NA,NA,NA,NA,5385.6,NA,NA,NA,NA,16739.3,NA,NA,NA,NA,NA,13124.2,NA,NA,NA,NA,NA,59338.6,NA,NA,NA,NA,13970.8,NA,7790.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12080.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23121.9,NA,21570.4,NA,NA,NA,NA,NA,13180.8,NA,NA,NA,10026.1,NA,29951,NA,NA,NA,NA,NA,24748.3,NA,NA,NA,6394.99,49937.8,NA,NA,NA,NA,NA,NA,NA,8205.73,NA,33684.8,NA,NA,NA,4263.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13435.8,NA,15186.1,NA,NA,NA,NA,NA
"Q9NU22",NA,NA,35175.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82742.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656115,203779,601977,NA,NA,244196,NA,NA,NA,NA,NA,NA,NA,NA,NA,355306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9NUB1",81826.4,NA,NA,79821.3,2302.26,35407.9,NA,23589.2,NA,60212.2,NA,360668,NA,NA,NA,22407.3,NA,71514.1,NA,NA,NA,NA,NA,28909.8,NA,NA,NA,60447.8,NA,NA,NA,232554,NA,101636,NA,41007.8,NA,NA,NA,NA,NA,13312.2,NA,251984,NA,125861,NA,NA,NA,137985,NA,NA,NA,NA,NA,NA,147448,NA,NA,25222.2,NA,NA,NA,78782.4,NA,NA,NA,66940.9,NA,NA,NA,NA,NA,NA,55378.4,NA,NA,NA,144018,NA,NA,NA,48558,NA,NA,NA,NA,NA,57395.2,NA,13994.4,NA,73856.3,50323.5,NA,NA,NA,NA,NA,NA,57582.6,74656.7,16838.5,71847.3,77120.6,NA,NA,NA,227362,NA,115519,32104.7,NA,25396,10770.2,NA,123842,33100.6,48805.9,NA,NA,NA,NA,NA,NA,234667,NA,NA,NA,NA,NA,64770.2,NA,NA,27053.9,13172.7,NA,33739.5,NA,NA,NA,141950,NA,43223.8,NA,34440.3,NA,NA,NA,92639.9,NA,88086.5,133768,NA,160086,7390.33,NA
"Q9NUI1",44084.5,650268,994260,79872.3,886240,97674.9,747437,86854.7,400969,NA,1276810,37160.7,640370,NA,407690,93828.3,851864,282517,1234750,NA,201544,118059,111907,NA,576240,279662,846337,48814.9,474193,NA,517170,201783,1049740,74527,739734,2212380,895045,180690,67298.9,241892,584598,206730,1485740,85828.3,454300,717405,145818,1662190,2222740,181591,1149590,1768520,108984,993337,68696.6,593984,117581,54351.1,562233,95334.5,1167510,69934,964236,77472,581817,99122.1,694706,138271,NA,483662,421778,NA,574169,903691,218100,771107,74547.2,1048290,40527.9,523822,NA,325454,60915.8,619756,293292,705348,511193,1501830,350913,1252940,60812.6,671460,93575.4,324331,181659,84853,NA,935751,733994,NA,478557,50920.4,28190.5,53961.8,19635.9,NA,40642.6,114663,242513,NA,NA,101982,90787.9,122484,39714.4,209100,118963,273119,602731,753710,1034710,780770,751389,931046,95304.7,103928,1405990,65211,NA,1194640,521335,71260.3,429329,690199,64664.3,47144.3,566603,33402.7,1281380,64747.5,772902,82995.7,833343,21580.3,781833,158447,563406,59454.5,965567,90710.8,464882,NA,50122.1,585622,129909,1052230,61949.2
"Q9NUJ1",NA,60587.6,210676,NA,30012.8,26052.2,73556,20097.4,129302,NA,80635.6,24907.4,161698,24092,112231,NA,93728.3,36162.6,172141,45062.5,151410,5496.52,NA,NA,51631.8,82438.3,144323,1888.85,196219,NA,NA,30340.4,155581,51506.9,126042,166035,83194.9,NA,NA,NA,51092.7,NA,NA,NA,119025,NA,NA,85823,45077,8905.08,102121,11567.6,NA,29593.1,NA,29802,38215.7,33451.4,154858,17898.7,132286,NA,66338.4,17095.8,148711,9311.5,92911.7,NA,NA,41434.5,NA,NA,82036.5,164865,24758.1,182814,NA,84431.4,26341.2,138598,NA,36300.2,12596,206147,42466.3,31724.5,193643,48794.5,11034.8,54465.9,NA,52176.9,27721.8,NA,19144.9,NA,NA,184476,124734,NA,24747.1,NA,27175.3,19719.6,12863.5,17735.5,13057,NA,23756.5,NA,NA,NA,NA,19350.9,31032.7,35966.2,7565.56,27458.7,16201.5,87966.4,NA,149274,118690,72612.3,NA,21259.2,112961,16929.4,NA,167091,85613.7,9588.08,116135,142059,10079.8,NA,64197.6,13994.8,87594.9,NA,22395.9,NA,38342.4,NA,33985.2,25104.3,155225,NA,15130.1,59572.5,101625,43840.1,55777.9,139829,29798.9,144306,NA
"Q9NUL5",36471.1,128015,90793.6,72714.6,211986,37711.9,149961,17823.7,113693,77859.6,116396,54989.5,130260,25503.5,95283.4,28923.8,137128,16820.5,124982,88927,159481,22366.1,69758.3,13414.8,96784,157237,94553.7,49910,131584,NA,77739.5,15588.1,102197,46386.8,134097,129235,67485.7,33386.9,16836,55575.6,192122,NA,16797.4,NA,43322.4,121518,115945,89402.8,93771.4,31022.8,120430,198635,NA,113257,72051.7,205042,48498.6,38917.8,126296,37665.8,175402,46358.5,144298,26669.5,99819.3,31929.2,57810.2,38242.6,NA,145811,161488,41034.5,45159.1,104957,25936.2,72697.1,45783.6,69249.5,40241.1,105546,49648.7,135169,25905.1,62392.5,120956,192051,47868.9,123732,1910.35,102840,39295.1,110751,23094.3,NA,35181.4,NA,127166,114994,143630,NA,10573.1,NA,NA,NA,19103.4,NA,39571.4,26113.4,35080.4,NA,4260.22,9327.63,NA,18419.6,NA,NA,9576.26,95496.9,45960.9,87961,150105,60321.6,259693,215582,47351.8,32041,173952,28689.4,NA,120440,164449,110101,112991,84707.3,92864.4,50784.5,162242,77247,228086,68290.4,239568,23961.8,191094,14976.6,94634.9,81738.1,111639,96188.9,185201,24688.2,116167,33084.3,21669.2,130884,51393.3,153861,26558.5
"Q9NUM4",NA,NA,NA,37796.7,NA,8189.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7988.8,NA,NA,NA,NA,NA,32636.6,NA,NA,NA,26975,NA,NA,6225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17837.3,NA,NA,NA,7158.15,NA,NA,NA,NA,NA,NA,25646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36325.3,54468,50935.5,NA,34077.2,NA,NA,NA,35746.3,NA,NA,14266.8,30978,30604.9,118147,38110.1,16313.4,NA,NA,46164,NA,31302.9,42670.4,25976.7,NA,77386.8,24313.4,NA,NA,NA,NA,NA,NA,NA,NA,14072.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24088.8,NA,22172.1,NA,NA,NA,33327.5,NA,NA,NA,NA,NA,NA,16891.5,NA,NA,NA,NA
"Q9NUQ6",43616.4,57023,100056,97448.7,35227.9,132964,48086,211405,123964,70348.6,34071.3,73687.1,175276,147983,61559.3,234864,38268.9,118988,76077.9,29082.6,58877.7,123821,NA,39380.8,18480.2,34059.7,104717,59933.5,43049.1,51861.3,26363.1,103855,65628.4,55626.2,48299.6,42789.5,NA,64293.5,27611.2,17625.5,121639,60619.7,NA,68040.8,93138.8,20694,34453.4,14228.4,NA,70336.4,39083.5,46087.6,NA,NA,39835.1,101662,35837.6,31867.3,77228.6,58753.4,73371.1,34621.2,48960.3,34477.7,54425.9,29413.7,20329.3,101015,117581,172527,NA,NA,35788.4,40560.4,114583,43525.8,NA,54246.4,72021.6,88500.5,125024,19838.6,54487.1,119949,53854.7,58699.2,30875.5,23381,81344.7,NA,61334.6,31152.6,83901.2,168209,54872,NA,41800.5,69751.4,142455,449036,38416.3,47021,276840,174183,29524.3,107833,34810.3,NA,59723.1,161956,87074.2,17493.5,163710,169952,254470,168457,118351,225738,14726.7,145682,NA,159247,88015.4,129065,42104.7,34698.9,31605.5,51803.7,NA,81815.1,61298.7,85780.4,87583.5,94454.5,77254.1,35874.4,48924.4,126711,66322.5,95435.3,28720.5,57973.9,NA,81561.2,71123.6,99399.1,57594.1,5363.84,34077,126156,99763.7,120322,102444,102833,31242.6,100472,63393.5
"Q9NUQ9",189275,136590,120359,239207,128283,363250,110023,290260,42822.5,337695,153830,422550,80217.8,322368,174699,554196,58997.9,325828,90185.9,134305,88353.8,379747,438458,159077,54164.5,140396,83154.1,266711,110901,437874,76968,326568,159195,163769,107227,138966,NA,381441,312925,394337,16692.2,361931,39651.3,NA,NA,134756,214613,63222.2,200697,591915,74708.1,79968.6,1048740,115722,375816,108222,629120,269363,79326,559079,65220.2,227849,22064.5,191596,51583,219326,104013,421925,89054.1,29669.1,189595,208619,65625.7,101358,235783,75499.9,455909,63308.2,584538,143330,264569,65138.1,757982,137410,239025,130745,231196,158526,368581,134660,282306,130199,171590,685939,417740,328999,276961,79618.8,57810.3,55250.4,189326,474538,398690,339381,345739,505613,336085,404723,899820,300348,362450,366682,245292,247358,304149,247389,483284,491756,250931,42751.5,130597,88855,170368,103476,413217,151978,136789,503200,319668,75781.8,77774.3,364863,168855,116243,531929,338336,72197,537127,172046,398771,58914.3,910858,98274.1,161451,185109,539002,91601.6,856290,189027,592784,174591,395025,323861,108263,243197,75009.9,285374
"Q9NUV9",85464.1,35841.6,NA,15109.9,111409,85568,74870.9,29836.3,83064.1,152146,113699,80707.5,55266.7,28141.2,99472.2,118677,56231.4,147296,237764,NA,126155,NA,183876,NA,74044.8,223391,162158,NA,234589,NA,105048,NA,157299,41769.4,72857.5,73963,146533,NA,NA,NA,NA,NA,NA,101967,NA,NA,179110,129404,123609,22485.9,NA,68481.9,46889.7,62075.6,92768.4,NA,78660.3,43698.6,160639,59889.9,58808.7,NA,69113.6,40011.7,64470.9,98833.8,58805.8,59288.6,NA,72793.3,NA,216003,NA,144260,NA,155603,NA,NA,33354.3,101338,29218.9,161633,114886,128148,340843,39313,206875,69203.9,16635.3,120782,NA,NA,30530.5,NA,NA,131453,NA,98823,NA,84887.8,NA,98904.5,70683.1,109947,127692,NA,74266.4,19049,575203,NA,107344,86649.5,65226.5,46600.6,NA,NA,NA,62212.9,311605,162250,199075,48573.5,317537,NA,76532.4,18924.2,190325,24037.6,NA,245835,26374.2,61801.7,213360,163793,127704,NA,60885.3,73611.2,62528.6,105942,188330,NA,32874.5,NA,89590.1,89680.7,243860,140384,180420,111648,135373,55173.7,NA,87054.1,81704.4,92041,24984
"Q9NUY8",5614.27,NA,NA,NA,NA,39838.5,NA,17865.8,NA,NA,NA,26357.4,NA,NA,NA,32631.4,NA,NA,NA,126269,NA,NA,NA,NA,NA,NA,NA,18598.1,NA,NA,NA,3733.78,NA,42932.5,NA,NA,NA,14212.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53722,NA,NA,NA,NA,NA,NA,35709.6,NA,33976.8,NA,4367.07,NA,29297.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38255.2,10735.4,NA,NA,NA,2838.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42969.8,64685.3,NA,7911.63,NA,39275,NA,17877.4,23033.7,NA,NA,NA,46590.3,29133.9,NA,46997.9,54595.3,20759.6,23399.2,NA,NA,NA,NA,NA,64603,19991.6,NA,24379.9,NA,NA,7178.78,NA,NA,NA,NA,11871.7,NA,23007.4,NA,7071.44,NA,NA,NA,15225.4,NA,33396.4,NA,NA,NA,29426.9,NA,52440.7,19237,NA,NA,NA,NA
"Q9NV31",57469.8,NA,NA,49544.7,NA,26696.4,NA,11173.3,4413,NA,NA,61581.2,7381.04,6855.97,6081.51,104294,NA,23679.6,8292.35,50734.9,8383.14,21862.2,NA,62477.5,NA,NA,NA,70738.4,6819.19,88535.9,NA,61994.4,NA,37078.7,NA,3610.92,NA,9004.41,146981,71670.4,NA,NA,NA,15147.1,NA,23310.8,NA,NA,NA,34895.7,NA,NA,84025.8,NA,27184.8,NA,26294.1,23693.5,NA,34420.9,NA,NA,NA,16291.3,NA,32308.3,NA,9217.54,NA,20664,NA,NA,NA,17832.8,15948.8,NA,NA,NA,4669.28,2993.2,19814.7,NA,81285.9,NA,11876.7,NA,NA,29429.3,17081.1,NA,7596.46,NA,26887.9,26760.5,25891.6,NA,92938.4,NA,4798.08,NA,13214.5,25117,110219,34516.3,22916.5,26753.6,121961,33231.4,59687.9,25294.9,NA,33266.6,67836.3,47672.3,53321.9,27563.2,10550.8,16273.4,6891.93,NA,NA,NA,NA,NA,81940.2,19225.9,15535.1,52976.1,NA,NA,NA,56943.6,NA,NA,23481.7,65392.7,NA,33407.7,NA,13203.6,3571.87,18862.9,11355.8,34241.2,NA,29384.8,11964,NA,28983.5,14147.2,5352.53,14483.9,48157.2,NA,19248.7,3320.14,NA
"Q9NV70",NA,22286.1,34166.3,133170,NA,134020,31002.1,111374,31951.4,NA,97919.5,205178,50359.3,142969,48823.1,95794.5,20741.7,111776,73267.8,80613.2,61557.4,NA,NA,55323.3,NA,NA,44522.7,173792,34014.1,NA,NA,144144,64303.7,147479,47353.2,59698.8,16956.2,118484,109902,NA,NA,93958,NA,23735.8,15761.3,NA,NA,72292.9,15851.9,94214.7,23365.2,NA,192596,38142.6,NA,NA,110220,77842,40049.7,120798,62823.7,107219,19041.8,199760,53751.9,100771,NA,169653,32525.3,9734.99,NA,NA,22263.4,91689,211801,34749.5,NA,NA,125802,48150.9,63190.8,40760.8,109888,47312.9,127494,NA,89948.9,115893,156980,66611.7,179765,NA,187740,33041.9,149275,174661,47494.3,23426.7,67524.7,65565.5,179160,115186,143451,108544,236039,106175,142694,54588.6,79078.3,113838,NA,NA,116825,107200,183460,172352,61595.5,121754,163868,63980.8,5431.16,43567.9,108595,NA,16757.8,78636.3,102267,131720,76456.1,82673.5,NA,78230.8,95316.1,80875.5,233515,NA,NA,132541,38365.5,30943.9,49315.7,83422.6,46991.1,211110,32645.2,141492,72739.1,NA,57054,84228.8,79741.1,149567,103291,37663.4,166482,60614.8,50477.9
"Q9NVA2",579212,89662.8,86024.1,306962,261329,160231,163580,196758,114535,167930,175969,416301,164351,152747,137616,190895,219058,244565,312182,246845,210144,170340,669806,152746,175409,275888,104540,301376,309592,136824,117860,399153,259478,582951,167112,143559,160278,680216,76660.1,201117,185035,186142,108799,279454,100176,71263.5,222778,166038,206724,86809,37231.7,165975,263371,165524,78561.6,150234,365987,333976,226577,290229,145656,292573,202243,551480,170928,240096,132035,426535,347535,151654,235236,65057.3,103668,264169,448748,193243,205038,98032.5,161920,218501,116064,234101,128359,122802,938596,287696,393160,224431,122573,517898,94528.2,138358,654101,145665,420951,279096,142779,100365,217189,89078.3,139687,411533,227793,489771,442039,189377,223703,287574,107651,205878,160258,311983,514692,250882,126351,150022,319616,181390,911585,108251,167629,109775,323944,180297,212645,762774,616684,233844,307773,190774,142866,503760,254405,243991,214299,59557.5,150650,139694,70864.6,432122,189066,156570,306153,525274,442927,91275.5,280436,57795.4,276273,289591,162588,465963,235157,201568,568895,208765,380616
"Q9NVD7",460530,156567,120681,48888.2,133776,69939.7,70807.8,116937,79762.4,286740,24209.4,314442,68501,100182,73522.7,105288,127868,144972,161199,62653.7,128399,92873.8,216900,119725,161884,62214.6,81661.8,167869,163386,76471.8,28364.7,21493.6,123514,320747,134550,102899,194090,456335,129924,78368.8,39158.5,72880.7,69903.3,227604,84456.1,81383.3,120344,96088.6,160307,118979,86187.4,106815,150099,130943,66572.2,46000.7,216734,283838,122018,163621,115903,139836,103691,268210,87246.2,85111.3,88726.9,282471,103631,41296.3,140037,331318,61796.2,144083,272942,145960,99500,55326.1,200395,116340,48714.6,NA,162471,114011,471803,140020,153717,48093.6,105544,247355,100932,170669,157232,17181.2,257194,365571,117652,81670.8,109157,NA,70309.4,202184,48641.3,226085,317857,81384,100873,129697,67818,326104,27072,286430,133864,204813,100240,39836.7,340926,83920,472179,96283.4,155927,108108,124614,84900.2,294400,424867,252035,131173,524204,126834,65984.2,351612,105911,148167,215593,307697,168596,57696.9,131971,151063,138879,253116,91418.6,390495,225714,93937.9,133709,441994,72278.6,169666,120735,207472,97124.4,104465,256753,96163.9,262651
"Q9NVI7",45967.8,99787.4,133344,41188.3,160390,128490,69715.7,159387,78234.3,NA,140720,66571.8,69360.7,40867.4,51355.1,65073.4,47516.5,38398.3,72135.4,103711,119916,45993.2,NA,7458.28,104007,26100.6,79761.9,38414.1,99961.8,56104.5,46742.9,60754.6,91341.3,62983.1,62209.6,104763,96688.2,16334.6,40628.9,78347.7,10915.6,NA,NA,28758.4,156711,92435.2,25288.4,82235.2,72718.7,95404.4,46362.9,129890,NA,71230,4032.64,54223.2,78251.3,28006.7,75518.4,32251.9,64321,20022,42438.6,11596.6,75417.1,24916.7,102027,50278.2,14337.7,45711,41149.2,NA,37510.2,93395.5,33761.2,73851.1,NA,49366.1,43599.7,109768,12663.6,31785.2,44572.4,133848,87780.1,73404.8,18699.8,38175.5,45589,57724.6,22389.6,46363.6,114212,152246,45851.8,NA,78512.8,94248.4,93941.8,NA,21181.5,57641.4,140644,31580.7,41669.8,85066.8,94252.4,153967,160764,19464.3,NA,70617.5,89692,83052.4,53404.4,122522,48843.8,104974,78834.6,105420,109770,82962.5,99687.8,45195.3,48699.9,29544.4,93772.2,102325,27647,117316,180562,57348.1,142720,86111.7,150593,18342.8,91879.6,72707.7,150993,73989,104811,28119.2,109114,31962.3,64944.2,70409.8,113353,3243.5,40595.4,88034.4,83943.2,52370.6,56364.8,112215,148776,112083,NA
"Q9NVJ2",NA,196628,91633.3,146718,142461,118073,47820.6,179130,125912,NA,16237.5,160210,111763,179383,187030,154313,145346,162807,95903.9,229481,92380.1,NA,NA,NA,77819.1,168018,69662.5,152094,155483,12608.7,56346,110843,157129,196934,138491,191369,88108.4,63157.8,75714.9,115659,38031.5,57761.1,NA,14994.6,67438.9,35727.1,NA,97937.7,202949,NA,71056.4,85840.6,76994.6,171926,NA,64957.4,135509,106951,105621,42808.4,91529.6,56483.5,72780.4,89084.3,125244,16491.8,117177,80248.4,NA,20704.1,NA,NA,60759.7,109380,371457,138105,42002.9,89549.7,169201,224506,NA,55254.8,138611,166771,163191,38108.1,224559,9530.82,129825,183579,21684.1,NA,131628,219167,228859,16910.7,31202.3,67189.2,100621,123600,109553,71163.5,225239,13880.3,60247.3,81823.5,219228,117775,266902,NA,NA,43102.4,182076,281534,99201.2,81250.1,69176.5,299776,169881,117366,112830,125094,127489,114144,7484.32,157412,172708,383955,8541.65,177017,50195,121952,218077,146964,133694,8065.67,38946.1,358290,52403.3,15096.1,82778.8,93045.6,172893,96976.4,86998.1,180600,173608,NA,NA,154397,222133,116238,62014.4,175721,177855,178345,NA
"Q9NVP1",NA,NA,NA,NA,NA,1093.4,NA,1265.35,NA,NA,NA,NA,NA,NA,NA,3308.35,NA,3836.86,NA,8096.66,1491.08,NA,NA,NA,NA,NA,NA,2922.41,NA,NA,NA,2782.36,NA,13233.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12479.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13382.7,NA,NA,NA,15277.8,NA,NA,NA,6260.08,4783.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,12744.6,NA,NA,NA,NA,NA,NA,NA,NA,25994.3,NA,NA,NA,1896.63,NA,8796.89,NA,NA,NA,6226.97,2384.7,12518.7,NA,NA,1326.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,11145.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4301.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8405.83,NA,NA,NA,NA
"Q9NVS9",NA,841763,1296210,72873.5,1016010,386033,808227,69151.3,1288990,19291,839697,123968,1221050,NA,282624,14311.2,349017,95641.1,1111020,76258.9,1332660,NA,32657,NA,758067,1025870,1454090,215353,1116030,NA,112032,317702,773344,169413,1814210,1234770,851925,123200,22522.3,22450.3,1352820,19373.2,751406,84818.1,743007,36784.9,204733,624573,792800,137203,1246340,837897,66135.3,935568,29919,711124,92420.2,169883,1641810,170919,990647,NA,189643,116252,1362930,71162.3,621296,46508.6,NA,219104,96825.7,NA,301116,766416,208775,984893,75390.4,1044670,68940.3,1467040,NA,204222,89784.2,1216800,252152,884970,516387,286348,178312,542696,10270.2,193736,109783,103676,100995,NA,NA,974686,1388880,67648,65534.3,25037.6,68759.5,37695.8,27583.8,32766.2,89628.5,22966.2,89027.1,NA,48662.7,NA,87241.8,84175.1,92409,29707.1,NA,132763,195356,1077580,157653,428815,848038,642462,198042,11629.4,619476,225498,6422.93,489089,1207410,153836,942575,629726,NA,20822.7,670565,104687,428417,NA,788685,26421.3,582215,NA,246175,249558,1012360,NA,436926,208214,1361700,110126,523334,1166650,56189.1,1205190,NA
"Q9NVZ3",91568.6,NA,49845.5,NA,NA,56286.8,NA,118452,85617.1,NA,NA,148043,20250.9,NA,NA,107718,12760.5,131958,NA,102038,80939.9,NA,NA,NA,NA,126233,NA,56832.6,62427.8,59361.1,NA,78894.9,79673.8,116265,68448.4,76856.9,NA,106414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163986,NA,NA,54075.1,NA,NA,NA,105643,79196.5,118559,NA,NA,55123.7,NA,102950,93721,94212.4,NA,NA,NA,NA,NA,30049,NA,NA,95803.1,86051.8,NA,NA,106065,56528.2,46640.7,NA,81884.2,NA,81979.9,NA,125530,NA,NA,NA,NA,NA,111459,130017,88271.7,109089,201181,NA,65637.2,NA,105659,112950,44732,82477.2,108273,NA,67764.9,209161,146594,118145,228557,97793,89897,84892.9,NA,50523.2,135145,64802.6,180559,53146.3,NA,NA,234983,NA,NA,186330,193641,75416.4,122667,NA,NA,182103,223741,65034.1,NA,NA,NA,104151,NA,111244,86455.3,NA,NA,147040,NA,96781.9,49846.8,102467,NA,204507,91531.2,78860.3,NA,50314.2,141347,61466.5,NA
"Q9NW13",NA,NA,NA,NA,NA,14453.5,NA,4429.11,NA,NA,NA,NA,NA,6149.35,NA,26941.1,NA,10894.3,NA,29054.3,NA,NA,NA,NA,NA,NA,NA,14976,NA,37200.1,NA,31151.7,NA,NA,NA,NA,NA,NA,6953.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9985.64,NA,NA,NA,NA,NA,NA,10797.2,NA,NA,NA,2277.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12827.5,NA,NA,NA,3267.67,NA,NA,NA,37720.3,NA,NA,NA,NA,NA,11764.4,NA,NA,NA,NA,21375.4,8168.72,NA,NA,NA,NA,NA,NA,18908.4,41896.5,22472.5,2299.94,5776.12,NA,19527.5,33593.4,NA,NA,NA,44991.9,7393.96,38007.6,NA,4171.03,9055.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,34000.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10542.8,NA,NA,NA,NA,NA,NA,NA,5692.96,NA,NA,NA,NA,NA,NA,28604.1,NA,NA,NA,NA
"Q9NWB6",NA,NA,143363,206744,161639,309816,158506,170526,183923,NA,NA,193173,120864,180595,121218,206778,136323,231113,296571,354027,286134,86454.9,NA,183167,NA,NA,198356,513295,320490,152814,251849,377612,180310,293148,230955,228846,NA,325257,219721,59807.8,NA,363535,NA,396306,304954,87966.4,NA,278079,NA,142187,221741,178642,203411,NA,NA,40471.6,250612,188280,179988,NA,151374,103200,NA,120040,181226,323345,NA,104768,NA,160218,NA,NA,73549.9,129756,189814,258959,425860,234161,295206,137259,213999,121537,258117,79077.5,272986,380229,224129,NA,NA,146050,NA,NA,320404,NA,260865,NA,231061,177937,96056.1,NA,246380,162995,351923,NA,142649,90168.3,227871,135257,254744,293944,123885,NA,123069,247087,171440,139395,NA,131375,203257,165286,NA,NA,214616,168841,184821,344432,NA,349748,NA,267497,181288,392499,238329,180832,183575,67288.8,109329,376395,92177.2,370826,80997.8,203828,249965,246849,105427,265713,271857,139003,133689,270535,198332,491774,275821,233521,110827,286074,NA
